<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,%K,%D,Signal SO
USDJPY,20010102,230300,114.43,114.43,114.43,114.43,4,,,
USDJPY,20010102,230400,114.44,114.44,114.44,114.44,4,,,
USDJPY,20010102,230500,114.44,114.44,114.44,114.44,4,,,
USDJPY,20010102,230700,114.44,114.44,114.44,114.44,4,,,
USDJPY,20010102,230800,114.44,114.44,114.44,114.44,4,,,
USDJPY,20010102,230900,114.44,114.44,114.44,114.44,4,,,
USDJPY,20010102,231100,114.44,114.45,114.44,114.45,4,,,
USDJPY,20010102,231200,114.45,114.45,114.45,114.45,4,,,
USDJPY,20010102,231300,114.45,114.45,114.43,114.43,4,,,
USDJPY,20010102,231400,114.42,114.42,114.41,114.41,4,,,
USDJPY,20010102,231500,114.41,114.41,114.4,114.4,4,,,
USDJPY,20010102,231600,114.4,114.4,114.39,114.39,4,,,
USDJPY,20010102,232000,114.39,114.39,114.38,114.38,4,,,
USDJPY,20010102,232100,114.38,114.38,114.38,114.38,4,0.0,,
USDJPY,20010102,232200,114.38,114.39,114.38,114.39,4,14.285714285720086,,
USDJPY,20010102,232300,114.39,114.39,114.39,114.39,4,14.285714285720086,9.52380952381339,0.0
USDJPY,20010102,232400,114.4,114.4,114.4,114.4,4,28.571428571440173,19.04761904762678,0.0
USDJPY,20010102,232500,114.39,114.39,114.38,114.38,4,0.0,14.285714285720085,0.0
USDJPY,20010102,232600,114.38,114.38,114.38,114.38,4,0.0,9.52380952381339,0.0
USDJPY,20010102,232700,114.38,114.38,114.38,114.38,4,0.0,0.0,0.0
USDJPY,20010102,232800,114.37,114.37,114.37,114.37,4,0.0,0.0,0.0
USDJPY,20010102,232900,114.37,114.38,114.37,114.38,4,12.499999999988898,4.166666666662966,1.0
USDJPY,20010102,233000,114.38,114.38,114.38,114.38,4,19.999999999982947,10.83333333332395,0.0
USDJPY,20010102,233100,114.38,114.38,114.38,114.38,4,24.999999999982236,19.166666666651363,0.0
USDJPY,20010102,233400,114.38,114.39,114.38,114.39,4,66.66666666665088,37.22222222220535,0.0
USDJPY,20010102,233500,114.4,114.4,114.4,114.4,4,100.0,63.88888888887771,0.0
USDJPY,20010102,233600,114.41,114.41,114.41,114.41,4,100.0,88.88888888888363,0.0
USDJPY,20010102,233700,114.4,114.4,114.4,114.4,4,75.00000000001776,91.66666666667258,-1.0
USDJPY,20010102,233800,114.39,114.4,114.39,114.4,4,75.00000000001776,83.33333333334518,0.0
USDJPY,20010102,233900,114.4,114.4,114.39,114.39,4,50.0,66.66666666667851,0.0
USDJPY,20010102,234000,114.39,114.39,114.39,114.39,4,50.0,58.333333333339255,0.0
USDJPY,20010102,234100,114.39,114.39,114.39,114.39,4,50.0,50.0,0.0
USDJPY,20010102,234200,114.39,114.39,114.39,114.39,4,50.0,50.0,0.0
USDJPY,20010102,234600,114.41,114.41,114.41,114.41,4,100.0,66.66666666666667,0.0
USDJPY,20010102,234700,114.41,114.41,114.41,114.41,4,100.0,83.33333333333333,0.0
USDJPY,20010102,234800,114.4,114.4,114.4,114.4,4,66.66666666669825,88.88888888889942,-1.0
USDJPY,20010102,235100,114.4,114.4,114.4,114.4,4,66.66666666669825,77.77777777779882,0.0
USDJPY,20010102,235200,114.4,114.41,114.4,114.41,4,100.0,77.77777777779883,0.0
USDJPY,20010102,235300,114.41,114.41,114.4,114.4,4,50.00000000003553,72.22222222224458,0.0
USDJPY,20010102,235400,114.4,114.4,114.4,114.4,4,50.00000000003553,66.66666666669035,0.0
USDJPY,20010102,235500,114.4,114.42,114.4,114.42,4,100.0,66.66666666669035,0.0
USDJPY,20010102,235600,114.42,114.43,114.42,114.43,4,100.0,83.33333333334518,0.0
USDJPY,20010102,235700,114.43,114.43,114.43,114.43,4,100.0,100.0,0.0
USDJPY,20010103,0,114.42,114.42,114.42,114.42,4,74.99999999999112,91.66666666666372,-1.0
USDJPY,20010103,300,114.4,114.4,114.4,114.4,4,25.000000000008882,66.66666666666667,0.0
USDJPY,20010103,400,114.41,114.43,114.41,114.43,4,100.0,66.66666666666667,0.0
USDJPY,20010103,500,114.43,114.43,114.43,114.43,4,100.0,75.00000000000296,0.0
USDJPY,20010103,600,114.43,114.43,114.43,114.43,4,100.0,100.0,0.0
USDJPY,20010103,800,114.42,114.42,114.42,114.42,4,66.66666666665088,88.88888888888363,-1.0
USDJPY,20010103,900,114.43,114.44,114.43,114.44,4,100.0,88.88888888888363,0.0
USDJPY,20010103,1000,114.43,114.43,114.43,114.43,4,75.00000000001776,80.55555555555621,-1.0
